date,t,rr1,rr3,rr6,ff,raf10,rafper,u,vv,n,cl,cm,ch,day,week,precipitation,cloudy_day
2021-01-11 09:00:00,273.95,0.0,0.0,0.0,1.6,2.4,2.5,92,6000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 12:00:00,275.95,0.0,0.0,0.0,3.6,5.6,6.1,85,16000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 15:00:00,277.05,0.0,0.0,0.0,4.0,6.2,6.2,84,16000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 18:00:00,276.75,0.0,0.0,0.0,3.4,6.0,6.7,84,13000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-11 21:00:00,276.85,0.0,0.0,0.0,4.9,8.4,8.6,84,10000,90.0,35.0,20.0,10.0,2021-01-11,2,0,0
2021-01-12 00:00:00,277.25,0.0,0.0,0.0,4.8,8.6,10.3,84,10000,90.0,35.0,20.387096774193548,10.629032258064516,2021-01-12,2,0,0
2021-01-12 03:00:00,277.75,0.0,0.0,0.0,6.1,9.5,10.8,84,15000,90.0,35.0,20.387096774193548,10.629032258064516,2021-01-12,2,0,0
2021-01-12 06:00:00,278.05,0.2,0.4,0.4,6.2,10.1,11.6,92,9000,90.0,35.0,20.387096774193548,10.629032258064516,2021-01-12,2,1,0
2021-01-12 09:00:00,279.65,0.0,0.0,0.4,7.1,10.9,11.7,91,20000,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-12,2,0,0
2021-01-12 12:00:00,280.85,0.2,0.4,0.4,8.2,12.6,13.6,91,15000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-12,2,1,0
2021-01-12 15:00:00,281.85,0.4,1.2,1.6,3.0,5.0,7.6,96,3000,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-12,2,1,0
2021-01-12 18:00:00,280.65,0.6,3.0,4.2,2.6,3.8,7.3,97,2760,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-12,2,1,0
2021-01-12 21:00:00,280.05,0.0,0.4,3.4,2.3,3.3,6.7,97,2500,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-12,2,0,0
2021-01-13 00:00:00,278.95,0.014285714285714287,0.19999999999999998,0.5285714285714286,0.5,0.8,2.8,94,6930,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,1,0
2021-01-13 03:00:00,278.75,0.0,0.0,0.2,1.3,2.0,2.6,96,3640,100.0,35.285714285714285,20.387096774193548,10.629032258064516,2021-01-13,2,0,0
2021-01-13 06:00:00,278.95,0.0,0.0,0.0,1.7,2.3,2.7,98,2750,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,0,0
2021-01-13 09:00:00,279.75,0.2,0.4,0.4,1.6,2.7,4.2,98,2170,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,1,0
2021-01-13 12:00:00,282.85,0.0,1.2,1.6,6.5,10.4,10.4,93,15000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,0,0
2021-01-13 15:00:00,282.85,0.0,0.0,1.2,6.7,11.7,11.7,90,20000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,0,0
2021-01-13 18:00:00,282.05,0.2,0.2,0.2,7.7,13.0,13.0,93,15000,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-13,2,1,0
2021-01-13 21:00:00,282.05,0.0,0.0,0.2,7.4,12.5,13.0,91,12000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-13,2,0,0
2021-01-14 00:00:00,281.75,0.0,0.0,0.0,4.7,7.7,11.3,92,12000,100.0,37.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 03:00:00,282.05,0.0,0.0,0.0,5.0,8.1,10.0,88,20000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 06:00:00,281.55,0.0,0.0,0.0,6.0,9.2,11.8,91,20000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 09:00:00,282.05,0.0,0.0,0.0,5.8,9.4,12.0,86,25000,90.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 12:00:00,282.15,0.2,0.2,0.2,5.5,9.5,10.1,93,14000,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,1,0
2021-01-14 15:00:00,283.75,0.0,0.0,0.2,6.0,9.3,12.4,88,38900,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 18:00:00,282.65,0.0,0.0,0.0,8.0,12.2,15.9,88,20000,90.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,0,0
2021-01-14 21:00:00,280.65,0.2,0.6,0.6,8.0,12.4,12.8,87,6480,100.0,35.0,20.387096774193548,10.629032258064516,2021-01-14,2,1,0
2021-01-15 00:00:00,276.15,0.0,0.6,1.2,7.8,12.3,14.0,87,19770,100.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 03:00:00,275.35,0.0,0.0,0.6,6.5,9.5,11.1,89,12480,100.0,37.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 06:00:00,275.15,0.0,0.0,0.0,5.7,11.2,14.0,85,12000,100.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 09:00:00,274.25,0.0,0.0,0.0,5.5,10.6,11.8,88,14000,100.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 12:00:00,275.65,0.0,0.0,0.0,5.7,8.7,10.7,72,20000,50.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 15:00:00,275.55,0.0,0.0,0.0,4.6,7.2,9.0,66,19150,90.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 18:00:00,274.25,0.0,0.0,0.0,4.2,5.9,8.1,66,20000,90.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-15 21:00:00,274.05,0.0,0.0,0.0,2.8,5.1,6.5,64,20000,90.0,35.0,20.0,10.0,2021-01-15,2,0,0
2021-01-16 00:00:00,273.65,0.0,0.0,0.0,1.6,2.5,3.8,66,20000,90.0,35.0,21.5,12.0,2021-01-16,2,0,0
2021-01-16 03:00:00,273.25,0.0,0.0,0.0,0.9,1.5,2.4,67,15000,90.0,35.0,21.5,12.0,2021-01-16,2,0,0
2021-01-16 06:00:00,272.65,0.0,0.0,0.0,2.2,3.6,3.6,74,12000,90.0,30.0,20.0,12.0,2021-01-16,2,0,0
2021-01-16 09:00:00,273.05,0.0,0.0,0.0,4.1,6.1,6.6,76,11030,90.0,35.0,23.0,12.0,2021-01-16,2,0,0
2021-01-16 12:00:00,272.55,0.4,0.8,0.8,4.0,6.6,7.4,97,900,100.0,37.0,21.5,12.0,2021-01-16,2,1,0
2021-01-16 15:00:00,272.85,1.2,3.0,3.8,6.0,10.2,10.8,97,4000,100.0,37.0,21.5,12.0,2021-01-16,2,1,0
2021-01-16 18:00:00,273.75,0.4,3.9,6.9,5.3,9.2,9.5,98,2750,100.0,37.0,21.5,12.0,2021-01-16,2,1,0
2021-01-16 21:00:00,274.75,0.0,0.2,4.1,4.1,5.5,7.3,98,4690,100.0,37.0,21.5,12.0,2021-01-16,2,0,0
2021-01-17 03:00:00,276.95,0.0,0.6,0.6,1.7,3.3,4.4,98,4400,90.0,35.0,20.0,10.5,2021-01-17,2,0,0
2021-01-17 06:00:00,277.55,0.4,0.4,1.0,4.0,6.4,6.4,97,10000,100.0,35.0,20.0,10.5,2021-01-17,2,1,0
2021-01-17 09:00:00,277.95,0.0,0.0,0.4,3.1,4.6,4.7,88,23820,90.0,38.0,20.0,10.5,2021-01-17,2,0,0
2021-01-17 12:00:00,279.95,0.0,0.6,0.6,3.8,7.6,7.6,81,17000,75.0,32.0,20.0,10.0,2021-01-17,2,0,0
2021-01-17 15:00:00,280.25,0.0,0.0,0.6,3.3,4.9,9.4,75,21460,82.5,35.5,20.0,10.5,2021-01-17,2,0,0
2021-01-17 18:00:00,276.45,0.0,0.0,0.0,2.1,2.7,2.9,88,10170,50.0,38.0,20.0,11.0,2021-01-17,2,0,0
2021-01-17 21:00:00,277.35,0.0,0.0,0.0,2.4,2.8,3.2,87,6630,90.0,35.0,20.0,10.5,2021-01-17,2,0,0
2021-01-18 00:00:00,275.65,0.0,0.0,0.0,2.9,3.4,3.8,92,4410,75.0,35.0,20.0,10.0,2021-01-18,3,0,0
2021-01-18 03:00:00,275.15,0.0,0.0,0.0,0.8,1.7,3.7,96,7640,90.0,35.0,20.0,10.4,2021-01-18,3,0,0
2021-01-18 06:00:00,274.65,0.0,0.0,0.0,4.0,4.9,4.9,96,12000,40.0,35.0,20.0,10.0,2021-01-18,3,0,0
2021-01-18 09:00:00,275.55,0.0,0.0,0.0,1.9,2.8,4.1,94,6660,60.0,35.0,20.0,10.0,2021-01-18,3,0,0
2021-01-18 12:00:00,279.55,0.0,0.0,0.0,3.5,5.7,5.8,81,18000,90.0,35.0,20.0,11.0,2021-01-18,3,0,0
2021-01-18 15:00:00,280.25,0.0,0.0,0.0,4.0,6.4,8.6,70,20000,75.0,32.0,20.0,11.0,2021-01-18,3,0,0
2021-01-18 18:00:00,278.65,0.0,0.0,0.0,2.3,3.9,4.0,86,20000,90.0,35.0,20.0,10.4,2021-01-18,3,0,0
2021-01-18 21:00:00,278.35,0.0,0.0,0.0,3.5,6.2,6.3,82,20000,90.0,35.0,20.0,10.4,2021-01-18,3,0,0
2021-01-19 00:00:00,278.55,0.0,0.0,0.0,5.7,9.4,9.4,77,27480,90.0,35.0,23.0,10.5,2021-01-19,3,0,0
2021-01-19 03:00:00,277.85,0.0,0.0,0.0,6.8,11.0,11.0,79,20000,90.0,35.0,23.0,10.5,2021-01-19,3,0,0
2021-01-19 06:00:00,277.65,0.0,0.0,0.0,6.6,10.6,11.4,83,20000,90.0,35.0,23.0,10.5,2021-01-19,3,0,0
2021-01-19 09:00:00,277.45,0.4,1.4,1.4,6.5,11.6,11.6,93,6000,100.0,37.0,23.0,10.5,2021-01-19,3,1,0
2021-01-19 12:00:00,279.15,0.0,1.6,3.0,8.2,16.9,16.9,87,25000,100.0,35.0,23.0,10.5,2021-01-19,3,0,0
2021-01-19 15:00:00,280.05,0.0,0.0,1.6,6.1,10.3,12.5,79,25000,90.0,35.0,23.0,10.5,2021-01-19,3,0,0
2021-01-19 18:00:00,278.35,0.0,0.0,0.0,2.2,3.5,4.9,87,25000,40.0,30.0,23.0,10.0,2021-01-19,3,0,0
2021-01-19 21:00:00,279.05,0.0,0.0,0.0,2.9,5.3,5.4,81,17000,90.0,30.0,23.0,11.0,2021-01-19,3,0,0
2021-01-20 00:00:00,279.75,0.0,0.0,0.0,4.1,7.8,9.0,75,34960,90.0,30.0,23.0,11.0,2021-01-20,3,0,0
2021-01-20 03:00:00,279.65,0.0,0.0,0.0,3.3,5.1,6.8,71,20000,90.0,30.0,27.0,11.0,2021-01-20,3,0,0
2021-01-20 06:00:00,280.65,0.0,0.0,0.0,3.1,5.7,6.4,60,57280,100.0,31.428571428571427,25.0,11.0,2021-01-20,3,0,0
2021-01-20 09:00:00,280.05,0.0,0.0,0.0,3.1,5.0,5.5,62,28000,90.0,30.0,27.0,11.0,2021-01-20,3,0,0
2021-01-20 12:00:00,283.85,0.0,0.0,0.0,6.5,12.0,12.0,51,24610,90.0,30.0,23.0,11.0,2021-01-20,3,0,0
2021-01-20 15:00:00,285.45,0.0,0.0,0.0,7.2,12.4,15.2,47,32140,90.0,30.0,23.0,11.0,2021-01-20,3,0,0
2021-01-20 18:00:00,284.75,0.0,0.0,0.0,7.1,13.6,13.6,59,25000,100.0,35.0,27.0,11.0,2021-01-20,3,0,0
2021-01-20 21:00:00,284.85,0.0,0.0,0.0,9.5,18.6,18.6,62,25000,90.0,35.0,25.0,11.0,2021-01-20,3,0,0
2021-01-21 00:00:00,284.85,0.0,0.0,0.0,11.0,19.4,22.3,70,25000,100.0,35.0,20.666666666666668,11.0,2021-01-21,3,0,0
2021-01-21 03:00:00,284.55,0.0,0.2,0.2,11.1,19.8,26.1,81,20000,90.0,35.0,20.666666666666668,11.0,2021-01-21,3,0,0
2021-01-21 06:00:00,279.25,0.0,4.3,4.5,4.3,7.2,7.4,87,30000,0.0,30.0,20.0,10.0,2021-01-21,3,0,0
2021-01-21 09:00:00,279.85,0.0,0.0,4.3,5.5,9.6,9.6,85,25000,90.0,30.0,20.0,12.0,2021-01-21,3,0,0
2021-01-21 12:00:00,282.05,0.0,0.0,0.0,6.4,12.6,12.6,77,22150,100.0,35.0,22.0,11.0,2021-01-21,3,0,0
2021-01-21 15:00:00,281.55,1.8,2.0,2.0,6.1,10.2,10.2,93,5180,100.0,38.0,20.666666666666668,11.0,2021-01-21,3,1,0
2021-01-21 18:00:00,283.45,0.6,3.0,5.0,9.2,17.2,24.6,78,33590,90.0,34.0,20.666666666666668,11.0,2021-01-21,3,1,0
2021-01-21 21:00:00,283.25,0.0,0.6,3.6,9.7,18.4,18.4,79,19870,100.0,35.0,20.666666666666668,11.0,2021-01-21,3,0,0
2021-01-22 00:00:00,280.95,0.8,1.2,1.8,8.6,14.3,14.7,90,4940,100.0,34.857142857142854,21.5,11.333333333333334,2021-01-22,3,1,0
2021-01-22 03:00:00,278.55,0.8,2.2,3.4,1.7,2.6,4.5,93,9000,100.0,35.0,21.5,11.333333333333334,2021-01-22,3,1,0
2021-01-22 06:00:00,277.15,2.0,5.7,7.9,1.7,2.4,3.2,93,10000,100.0,35.0,21.5,11.333333333333334,2021-01-22,3,1,0
2021-01-22 09:00:00,276.65,0.0,0.4,6.1,2.0,3.1,4.4,95,25000,90.0,35.0,23.0,11.333333333333334,2021-01-22,3,0,0
2021-01-22 12:00:00,278.95,0.0,0.0,0.4,3.4,5.8,5.8,86,25000,90.0,35.0,21.5,11.333333333333334,2021-01-22,3,0,0
2021-01-22 15:00:00,281.15,0.0,0.0,0.0,2.2,3.3,6.7,68,38550,90.0,31.0,20.0,11.0,2021-01-22,3,0,0
2021-01-22 18:00:00,278.75,0.0,0.0,0.0,2.7,4.3,4.5,84,30000,90.0,38.0,20.0,11.0,2021-01-22,3,0,0
2021-01-22 21:00:00,277.75,0.0,0.0,0.0,2.5,4.3,5.2,91,11120,90.0,35.0,23.0,12.0,2021-01-22,3,0,0
2021-01-23 00:00:00,277.15,0.0,0.0,0.0,3.3,5.7,6.1,91,18740,25.0,30.0,23.0,10.0,2021-01-23,3,0,0
2021-01-23 03:00:00,275.95,0.0,0.0,0.0,3.7,5.6,7.2,94,18210,25.0,35.0,20.0,11.0,2021-01-23,3,0,0
2021-01-23 06:00:00,275.85,0.0,0.0,0.0,3.6,5.7,7.0,98,5320,100.0,36.0,20.75,10.25,2021-01-23,3,0,0
